imdb dbow {"embedding_size": 100, "min_freq": 0, "sample": 0.1, "lr": 0.01, "batch_size": 2048, "epoch_size": 18, "save_path": "__cache__/tf/1a3e015c-0d6d-488a-b7b7-7f39d6dca16b"}
2017-05-22 04:12:44.177440 started training
2017-05-22 04:13:53.502030 finished epoch 0, loss: 6.816554
2017-05-22 04:14:46.567861 finished epoch 1, loss: 6.551309
2017-05-22 04:15:40.347816 finished epoch 2, loss: 6.443943
2017-05-22 04:16:32.834248 finished epoch 3, loss: 6.391157
2017-05-22 04:17:25.944619 finished epoch 4, loss: 6.359050
2017-05-22 04:18:18.951050 finished epoch 5, loss: 6.336975
2017-05-22 04:19:12.059888 finished epoch 6, loss: 6.320697
2017-05-22 04:20:05.437728 finished epoch 7, loss: 6.308048
2017-05-22 04:20:58.196076 finished epoch 8, loss: 6.297938
2017-05-22 04:21:51.851550 finished epoch 9, loss: 6.289547
2017-05-22 04:22:44.906277 finished epoch 10, loss: 6.282446
2017-05-22 04:23:38.214950 finished epoch 11, loss: 6.276442
2017-05-22 04:24:31.447769 finished epoch 12, loss: 6.271382
2017-05-22 04:25:24.288161 finished epoch 13, loss: 6.266793
2017-05-22 04:26:17.868494 finished epoch 14, loss: 6.262888
2017-05-22 04:27:11.020115 finished epoch 15, loss: 6.259173
2017-05-22 04:28:03.344944 finished epoch 16, loss: 6.256109
2017-05-22 04:28:56.548997 finished epoch 17, loss: 6.253012
imdb dbow {"embedding_size": 100, "min_freq": 0, "sample": 0.1, "lr": 0.05, "batch_size": 2048, "epoch_size": 2, "save_path": "__cache__/tf/19014125-b888-4fb3-97d0-e13c9921090c", "train_path": "__cache__/tf/1a3e015c-0d6d-488a-b7b7-7f39d6dca16b"}
2017-05-22 04:30:33.371386 started training
2017-05-22 04:30:37.797047 finished epoch 0, loss: 7.404172
2017-05-22 04:30:40.710355 finished epoch 1, loss: 7.266896
imdb nn {"train_paths": ["__cache__/tf/1a3e015c-0d6d-488a-b7b7-7f39d6dca16b"], "test_paths": ["__cache__/tf/19014125-b888-4fb3-97d0-e13c9921090c"], "layer_sizes": [2], "lr": 0.01, "batch_size": 2048, "epoch_size": 100}
2017-05-22 04:30:50.523206 started training
2017-05-22 04:30:50.718959 finished epoch 0, loss: 0.652506, error rate: 0.273874
2017-05-22 04:30:50.759139 finished epoch 1, loss: 0.461732, error rate: 0.212613
2017-05-22 04:30:50.798930 finished epoch 2, loss: 0.384977, error rate: 0.205005
2017-05-22 04:30:50.837753 finished epoch 3, loss: 0.352326, error rate: 0.200200
2017-05-22 04:30:50.877389 finished epoch 4, loss: 0.336569, error rate: 0.198198
2017-05-22 04:30:50.919104 finished epoch 5, loss: 0.327918, error rate: 0.199199
2017-05-22 04:30:50.958468 finished epoch 6, loss: 0.322760, error rate: 0.198599
2017-05-22 04:30:50.997232 finished epoch 7, loss: 0.319443, error rate: 0.197197
2017-05-22 04:30:51.036684 finished epoch 8, loss: 0.317280, error rate: 0.195596
2017-05-22 04:30:51.077377 finished epoch 9, loss: 0.315760, error rate: 0.196997
2017-05-22 04:30:51.117373 finished epoch 10, loss: 0.314741, error rate: 0.196196
2017-05-22 04:30:51.156849 finished epoch 11, loss: 0.313941, error rate: 0.196196
2017-05-22 04:30:51.196788 finished epoch 12, loss: 0.313475, error rate: 0.196797
2017-05-22 04:30:51.237651 finished epoch 13, loss: 0.313145, error rate: 0.196797
2017-05-22 04:30:51.278411 finished epoch 14, loss: 0.312857, error rate: 0.196597
2017-05-22 04:30:51.318683 finished epoch 15, loss: 0.312747, error rate: 0.195796
2017-05-22 04:30:51.357568 finished epoch 16, loss: 0.312504, error rate: 0.196196
2017-05-22 04:30:51.396897 finished epoch 17, loss: 0.312378, error rate: 0.196396
2017-05-22 04:30:51.436494 finished epoch 18, loss: 0.312337, error rate: 0.197598
2017-05-22 04:30:51.476853 finished epoch 19, loss: 0.312332, error rate: 0.196196
2017-05-22 04:30:51.518310 finished epoch 20, loss: 0.312241, error rate: 0.198599
2017-05-22 04:30:51.558436 finished epoch 21, loss: 0.312171, error rate: 0.196597
2017-05-22 04:30:51.600106 finished epoch 22, loss: 0.312250, error rate: 0.197598
2017-05-22 04:30:51.641716 finished epoch 23, loss: 0.312238, error rate: 0.197998
2017-05-22 04:30:51.682398 finished epoch 24, loss: 0.312274, error rate: 0.195996
2017-05-22 04:30:51.721712 finished epoch 25, loss: 0.312288, error rate: 0.197798
2017-05-22 04:30:51.762961 finished epoch 26, loss: 0.312268, error rate: 0.196597
