imdb pvdm {"mode": "concat", "window_size": 12, "embedding_size": 150, "min_freq": 0, "sample": 1e-05, "lr": 0.1, "batch_size": 2048, "epoch_size": 22, "save_path": "__cache__/tf/bb90a6f7-0abb-431a-866d-f7d9a9d14994"}
2017-05-22 11:37:36.497647 started training
2017-05-22 11:40:18.551916 finished epoch 0, loss: 398.751826
2017-05-22 11:42:34.779717 finished epoch 1, loss: 465.971510
2017-05-22 11:44:50.697217 finished epoch 2, loss: 397.102368
2017-05-22 11:47:06.860402 finished epoch 3, loss: 358.728680
2017-05-22 11:49:22.701792 finished epoch 4, loss: 337.371991
2017-05-22 11:51:38.931588 finished epoch 5, loss: 324.660481
2017-05-22 11:53:55.507319 finished epoch 6, loss: 316.237997
2017-05-22 11:56:11.583371 finished epoch 7, loss: 310.780939
2017-05-22 11:58:27.559691 finished epoch 8, loss: 306.473429
2017-05-22 12:00:43.505355 finished epoch 9, loss: 303.627138
2017-05-22 12:02:59.713178 finished epoch 10, loss: 301.133175
2017-05-22 12:05:16.052073 finished epoch 11, loss: 299.155853
2017-05-22 12:07:32.264766 finished epoch 12, loss: 297.721500
2017-05-22 12:09:48.221646 finished epoch 13, loss: 296.620020
2017-05-22 12:12:04.484892 finished epoch 14, loss: 295.669984
2017-05-22 12:14:20.364590 finished epoch 15, loss: 294.948724
2017-05-22 12:16:36.776369 finished epoch 16, loss: 294.340395
2017-05-22 12:18:52.737618 finished epoch 17, loss: 294.026049
2017-05-22 12:21:08.964449 finished epoch 18, loss: 293.434532
2017-05-22 12:23:24.942857 finished epoch 19, loss: 293.251220
2017-05-22 12:25:40.893195 finished epoch 20, loss: 292.961947
2017-05-22 12:27:56.585593 finished epoch 21, loss: 292.826199
imdb pvdm {"mode": "concat", "window_size": 12, "embedding_size": 150, "min_freq": 0, "sample": 1e-05, "lr": 0.0025, "batch_size": 2048, "epoch_size": 1, "save_path": "__cache__/tf/466eb230-d70d-4cc4-afac-9a68c22c03f8", "train_path": "__cache__/tf/bb90a6f7-0abb-431a-866d-f7d9a9d14994"}
2017-05-22 12:29:42.288902 started training
2017-05-22 12:29:49.970555 finished epoch 0, loss: 828.830669
imdb nn {"train_paths": ["__cache__/tf/bb90a6f7-0abb-431a-866d-f7d9a9d14994"], "test_paths": ["__cache__/tf/466eb230-d70d-4cc4-afac-9a68c22c03f8"], "layer_sizes": [2], "lr": 0.01, "batch_size": 2048, "epoch_size": 100}
2017-05-22 12:30:04.213487 started training
2017-05-22 12:30:04.406859 finished epoch 0, loss: 2.414050, error rate: 0.383183
2017-05-22 12:30:04.444782 finished epoch 1, loss: 0.837358, error rate: 0.455455
2017-05-22 12:30:04.482699 finished epoch 2, loss: 0.657588, error rate: 0.485085
2017-05-22 12:30:04.520518 finished epoch 3, loss: 0.541236, error rate: 0.499700
2017-05-22 12:30:04.557449 finished epoch 4, loss: 0.444541, error rate: 0.500300
2017-05-22 12:30:04.593159 finished epoch 5, loss: 0.410273, error rate: 0.499299
2017-05-22 12:30:04.629874 finished epoch 6, loss: 0.408309, error rate: 0.499299
2017-05-22 12:30:04.666559 finished epoch 7, loss: 0.406045, error rate: 0.498498
2017-05-22 12:30:04.704952 finished epoch 8, loss: 0.403006, error rate: 0.498098
2017-05-22 12:30:04.741949 finished epoch 9, loss: 0.403839, error rate: 0.499900
2017-05-22 12:30:04.777951 finished epoch 10, loss: 0.405616, error rate: 0.499499
2017-05-22 12:30:04.817213 finished epoch 11, loss: 0.406854, error rate: 0.498098
2017-05-22 12:30:04.854474 finished epoch 12, loss: 0.407474, error rate: 0.499499
2017-05-22 12:30:04.893001 finished epoch 13, loss: 0.405923, error rate: 0.499700
2017-05-22 12:30:04.932751 finished epoch 14, loss: 0.405591, error rate: 0.498699
2017-05-22 12:30:04.968776 finished epoch 15, loss: 0.404392, error rate: 0.498699
2017-05-22 12:30:05.007295 finished epoch 16, loss: 0.405829, error rate: 0.495896
2017-05-22 12:30:05.046354 finished epoch 17, loss: 0.405690, error rate: 0.500300
2017-05-22 12:30:05.084927 finished epoch 18, loss: 0.406147, error rate: 0.499700
2017-05-22 12:30:05.121011 finished epoch 19, loss: 0.405364, error rate: 0.499099
2017-05-22 12:30:05.158540 finished epoch 20, loss: 0.406700, error rate: 0.499900
2017-05-22 12:30:05.197916 finished epoch 21, loss: 0.409041, error rate: 0.500300
2017-05-22 12:30:05.236015 finished epoch 22, loss: 0.407603, error rate: 0.498498
2017-05-22 12:30:05.272196 finished epoch 23, loss: 0.407558, error rate: 0.499299
2017-05-22 12:30:05.310080 finished epoch 24, loss: 0.406513, error rate: 0.498298
2017-05-22 12:30:05.346474 finished epoch 25, loss: 0.408455, error rate: 0.499299
2017-05-22 12:30:05.386707 finished epoch 26, loss: 0.408681, error rate: 0.499700
2017-05-22 12:30:05.424565 finished epoch 27, loss: 0.408925, error rate: 0.479479
2017-05-22 12:30:05.461164 finished epoch 28, loss: 0.409097, error rate: 0.499700
2017-05-22 12:30:05.498061 finished epoch 29, loss: 0.409108, error rate: 0.500300
